	strings	type
885	the user is participating in a google meet video call  the meeting includes participants dragos nuta  phil hewinson  and a bot named  read ai meeting notes   the discussion appears to be focused on ai assist  as indicated by the visible text  phil   dragos   what can ai assist help you    the user is the meeting host  and all invited participants have joined the call  the meeting interface shows standard google meet controls and participant management options	kb
886	thibaul bridel bertomeu	kb
887	thibault bridel bertomeu	kb
888	think with me	kb
889	thomas kinnie	kb
890	tier 1   enterprise  20k month	kb
891	time	kb
892	time 5 30 pm 6 4 2024	kb
893	timestamp	kb
894	tivian	kb
895	tivian    performance plan	kb
896	tivian   pricing insights	kb
897	tivian   pricing insights  stickiness	kb
898	tivian cloudfix savings	kb
899	tolgoj   ccab	kb
900	top right	kb
901	topic in chat	kb
902	tpm	kb
903	tpm eng	kb
904	tpm reboot	kb
905	tpm slot   early adoption service	kb
906	tracking progress	kb
907	trilogy	kb
908	trilogyvdr com	kb
909	trivian   pricing insights	kb
910	trivian cloudfix savings document	kb
911	true	kb
912	two participants visible	kb
913	typescript	kb
914	typical browser controls	kb
915	unidentified application	kb
916	unidentified applications	kb
917	upcoming meetings	kb
918	upgraded version in 2022	kb
919	upgrading its white label product	kb
920	used for accessing guidde and chat	kb
921	used for alp jira	kb
922	used for engaging in chat	kb
923	used for facebook cc payments	kb
924	used for managing schedule	kb
925	user	kb
926	user feedback	kb
927	user profile picture	kb
928	vanishig singh	kb
929	various job boards	kb
930	various project statuses	kb
931	vendor bill processing automation	kb
932	vendor enrollment	kb
933	vendor queries	kb
934	version 1 2 0	kb
935	version 1 2 3	kb
936	version 10 15  java 11	kb
937	version 12 0	kb
938	version 12 0 3	kb
939	version compatibility	kb
940	victor sant ana	kb
941	video call	kb
942	video call with scott saunders	kb
943	video call with thomas kinnie	kb
944	video conference	kb
945	video conference call	kb
946	video conference controls	kb
947	video conference controls including microphone  camera  and presentation options	kb
948	video conference participants	kb
949	video conference platform	kb
950	video conference tool	kb
951	video conferencing	kb
952	video conferencing tool	kb
953	video feed	kb
954	video project	kb
955	videos	kb
956	viewing and updating  weekly delivery tracker  document	kb
957	viewing and updating project documentation	kb
958	viewing documents	kb
959	viewing factory status document	kb
960	viewing google docs document	kb
961	viewing google sheets document	kb
962	viewing map of	kb
963	viewing spreadsheet	kb
964	vip emails	kb
965	visible in chat	kb
966	visible in desktop	kb
967	visible in lock screen	kb
968	visible in taskbar	kb
969	visible in the video call interface	kb
970	visible text	kb
971	visible text indicating active collaboration and presentation of the document to the team	kb
972	visible text indicating customer engagement strategies and the effectiveness of the jive ai copilot	kb
973	visible text indicating finalizing updates to the document	kb
974	visible text indicating ongoing discussions with team members about customer feedback and potential improvements to the jive ai copilot	kb
975	visible text indicating that the user is editing and updating the document	kb
976	visible text indicating that the user is ensuring that all progress updates  metrics  and kpis are accurately reflected in the document	kb
977	visible text indicating that the user is making edits and updates to the content	kb
978	visible text indicating that the user is still sharing their screen in the google meet session	kb
979	visual studio code	kb
980	vpn	kb
981	web browser	kb
982	web browsing	kb
983	webinar event	kb
984	webmethods interceptor	kb
985	webmethods interpreter	kb
986	website	kb
987	week of june 10  2024	kb
988	week of x	kb
989	week view mode	kb
990	weekly delivery tra	kb
991	weekly delivery tracker	kb
992	weekly delivery tracker   tpm eng	kb
993	weekly progress report	kb
994	weekly progress report   tpm eng	kb
995	what did not go well	kb
996	what went well	kb
997	wi fi	kb
998	window titled  jive upgrade	kb
999	window titled  meet google com	kb
1000	windows default lock screen	kb
1001	work output improvement	kb
1002	work related communications	kb
1003	working on  factory status may 2024  tpm eng   document	kb
1004	worksmart lambda	kb
1005	ws eng bot app	kb
1006	ws lambda atlassian net	kb
1007	x0 kanban weekly demo	kb
1008	xo	kb
1009	xo candidate support esc	kb
1010	xo candidate support escalations	kb
1011	xo candidate support escalations   chat	kb
1012	xo check in	kb
1013	xo check in meeting	kb
1014	xo kanban weekly demo	kb
1015	xo team	kb
1016	xo team chat	kb
1017	zain	kb
1018	zendesk	kb
1019	zoom	kb
1020	zoom meeting	kb
1021	zoom meeting 40 minutes	kb
