	strings	type
960	viewing google docs document	query
961	viewing google sheets document	query
962	viewing map of	query
963	viewing spreadsheet	query
964	vip emails	query
965	visible in chat	query
966	visible in desktop	query
967	visible in lock screen	query
968	visible in taskbar	query
969	visible in the video call interface	query
970	visible text	query
971	visible text indicating active collaboration and presentation of the document to the team	query
972	visible text indicating customer engagement strategies and the effectiveness of the jive ai copilot	query
973	visible text indicating finalizing updates to the document	query
974	visible text indicating ongoing discussions with team members about customer feedback and potential improvements to the jive ai copilot	query
975	visible text indicating that the user is editing and updating the document	query
976	visible text indicating that the user is ensuring that all progress updates  metrics  and kpis are accurately reflected in the document	query
977	visible text indicating that the user is making edits and updates to the content	query
978	visible text indicating that the user is still sharing their screen in the google meet session	query
979	visual studio code	query
980	vpn	query
981	web browser	query
982	web browsing	query
983	webinar event	query
984	webmethods interceptor	query
985	webmethods interpreter	query
986	website	query
987	week of june 10  2024	query
988	week of x	query
989	week view mode	query
990	weekly delivery tra	query
991	weekly delivery tracker	query
992	weekly delivery tracker   tpm eng	query
993	weekly progress report	query
994	weekly progress report   tpm eng	query
995	what did not go well	query
996	what went well	query
997	wi fi	query
998	window titled  jive upgrade	query
999	window titled  meet google com	query
1000	windows default lock screen	query
1001	work output improvement	query
1002	work related communications	query
1003	working on  factory status may 2024  tpm eng   document	query
1004	worksmart lambda	query
1005	ws eng bot app	query
1006	ws lambda atlassian net	query
1007	x0 kanban weekly demo	query
1008	xo	query
1009	xo candidate support esc	query
1010	xo candidate support escalations	query
1011	xo candidate support escalations   chat	query
1012	xo check in	query
1013	xo check in meeting	query
1014	xo kanban weekly demo	query
1015	xo team	query
1016	xo team chat	query
1017	zain	query
1018	zendesk	query
1019	zoom	query
1020	zoom meeting	query
1021	zoom meeting 40 minutes	query
0		kb
1	1 630       20	kb
2	1 year in advance	kb
3	100	kb
4	12 11 am	kb
5	12 32 pm	kb
6	12 33	kb
7	12 33 pm	kb
8	12 39 pm	kb
9	2 others	kb
10	20104	kb
11	2022 deployed version	kb
12	2024	kb
13	2024 06 04	kb
14	2024 06 04t08 01 45z	kb
15	2024 06 04t08 06 10z	kb
16	2024 06 04t08 09 06z	kb
17	2024 06 04t14 10 08z	kb
18	2024 06 04t14 14 59z	kb
19	2024 06 04t14 19 18z	kb
20	2024 06 04t17 52 00z	kb
21	2024 06 04t21 11 38z	kb
22	2500month	kb
23	3 july 2001	kb
24	4 accounts	kb
25	a p processing updates	kb
26	accessed for managing account settings	kb
27	accessing amazon quicksight	kb
28	accessing gmail	kb
29	accessing google docs	kb
30	accessing google meet	kb
31	account name	kb
32	account settings	kb
33	accuracy and completeness of the document	kb
34	acquisition   import review	kb
35	active	kb
36	activities	kb
37	activitysummary	kb
38	address bar	kb
39	aditya prakash	kb
40	administrative tasks	kb
41	adobe illustrator	kb
42	adobe reader	kb
43	adoption data	kb
44	advocatehub	kb
45	advotechhub	kb
46	agencies	kb
47	ahub 1999	kb
48	ahub 5097	kb
49	ahub 610	kb
50	ahub 6510	kb
51	ahub 652	kb
52	ai	kb
53	ai adoption product manager service	kb
54	ai applications	kb
55	ai assist	kb
56	ai assist   extract document content	kb
57	ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome	kb
58	ai assist   google chrome	kb
59	ai assist agent	kb
60	ai assist crossover com	kb
61	ai augmented back end principal engineer	kb
62	ai augmented full stack principal engineer	kb
63	ai chat interfaces	kb
64	ai coach	kb
65	ai coach   internal	kb
66	ai coach daily sync	kb
67	ai coach emails	kb
68	ai copilot	kb
69	ai dashboard	kb
70	ai development	kb
71	ai digestible educational data model	kb
72	ai driven	kb
73	ai driven customer support or assistance tasks	kb
74	ai driven email applications	kb
75	ai feature	kb
76	ai feature adoption dashboard	kb
77	ai first software engineer iii	kb
78	ai functionalities	kb
79	ai news	kb
80	ai notetaker	kb
81	ai productivity and efficiency	kb
82	ai solutions are effectively integrated into customer s operational processes	kb
83	ai tool	kb
84	ai tools	kb
85	ai tools usage	kb
86	ai usage tracking	kb
87	ai vision   generative ai features	kb
88	airtable	kb
89	alp jira	kb
90	amazon	kb
91	amazon bedrock	kb
92	amazon quicksight	kb
93	amazon s3	kb
94	analytics	kb
95	analyzing chat history and determining user s intent	kb
96	andrei kharytonenka	kb
97	anna slowinski	kb
98	anna spyrou	kb
99	anusha shah	kb
100	app guidde com	kb
101	apple developer	kb
102	apple developer account is disabled	kb
103	application	kb
104	application updates	kb
105	appmanager 1999	kb
106	appmanager technical pe	kb
107	arr	kb
108	arr performance	kb
109	arr performance post   dd rca on product issues	kb
110	arr performance post doa	kb
111	arr report	kb
112	arri	kb
113	artem melnikov	kb
114	asking questions about customer interactions	kb
115	asking questions about usage metrics	kb
116	attachments	kb
117	aura messenger	kb
118	aurea messenger	kb
119	autonomy for pms	kb
120	aws	kb
121	aws esw office hours	kb
122	aws news	kb
123	ben new	kb
124	bengaluru	kb
125	beyond 88	kb
126	bogdan adedolapo	kb
127	bogdan tenea	kb
128	bookmarks bar	kb
129	bottom	kb
130	bottom right	kb
131	bratislava	kb
132	broadridge	kb
133	browsing bookmarks	kb
134	budget notes	kb
135	budget overspend	kb
136	burndown charts	kb
137	business goal progress scores	kb
138	business value analysis	kb
139	by radio city	kb
140	calculations	kb
141	calendar	kb
142	calendar application	kb
143	calendar google com	kb
144	calendly	kb
145	calibri	kb
146	call interface	kb
147	call interface with controls for microphone  camera  and settings	kb
148	call interface with controls for microphone  camera  captions  and more	kb
149	call interface with controls for microphone  camera  captions  and more options	kb
150	call interface with controls for microphone  camera  captions  and more options  and hang up	kb
151	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible	kb
152	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta	kb
153	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes	kb
154	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes	kb
155	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen	kb
156	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout	kb
157	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible	kb
158	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta	kb
159	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james	kb
160	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface	kb
161	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in	kb
162	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian	kb
163	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian  various tasks and issues  including gt school   logrocket  credit card payment for yearly subscription to wix com  moo business cards for cro   rory james	kb
164	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian  various tasks and issues  including gt school   logrocket  credit card payment for yearly subscription to wix com  moo business cards for cro   rory james  still in the google meet call with isabelle adviento and dragos nuta	kb
165	call interface with controls for microphone  camera  captions  present now  more options  and hang up	kb
166	camera	kb
167	camera controls	kb
168	camera toggle	kb
169	candidateid  20104	kb
170	captions	kb
171	captured timeframe	kb
172	castle	kb
173	categories such as cohorts  read  stuff  assembly lines  guides  info  li  xo process  xo wspro  google jobs  open tabs july 2022  new folder  seo  org  ai coach  sourcing 2024  and platforms	kb
174	ccf	kb
175	central compute	kb
176	central db	kb
177	central pms team	kb
178	central product   q2 24 budget plan	kb
179	central tpm operations meeting	kb
180	chandigarh	kb
181	chat	kb
182	chat conversation	kb
183	chat in tpm reboot	kb
184	chat options	kb
185	chat panel with dragos nuta and ben new	kb
186	chat session	kb
187	chat sidebar	kb
188	chat sidebar showing discussions about customer usage and feedback on the jive ai copilot	kb
189	chat sidebar showing ongoing discussions with team members	kb
190	chat window for team collaboration	kb
191	chatting	kb
192	chatting with team	kb
193	chennai	kb
194	chennai metropolitan	kb
195	chris hornby	kb
196	chrome	kb
197	chunk 2024 06 04t06 20 00z json	kb
198	close button	kb
199	cloud	kb
200	cloud getliteral ai	kb
201	cloudsense	kb
202	cnu	kb
203	cnu 1 week project	kb
204	cnu ai assist   extract doc	kb
205	cnu q business productm	kb
206	cnu q business productmind	kb
207	cnu q business productmind chat	kb
208	coastline	kb
209	code with ai   chat	kb
210	collaboration	kb
211	commit goals	kb
212	communication	kb
213	communication tool	kb
214	completing phone call attempts to customers	kb
215	conclusions	kb
216	contact persons	kb
217	content of the document	kb
218	continuous engagement	kb
219	contract	kb
220	contract started april 26	kb
221	controls	kb
222	conversation about approach and customers	kb
223	conversation about channels used	kb
224	conversation about concise information	kb
225	corry kapner	kb
226	cory kapner	kb
227	cory s sybill notetaker	kb
228	cost analysis	kb
229	cost per slot	kb
230	cost reduction	kb
231	countifs	kb
232	crossover	kb
233	crossover    appcast	kb
234	crossover   joeveo discussion	kb
235	crossover   upwork sourc	kb
236	crossover   upwork source	kb
237	crossover   upwork sourcing	kb
238	crossover com	kb
239	crossover hire	kb
240	crossover hire   backlog   google chrome	kb
241	crossover hire project tasks in jira	kb
242	crossover markets dmcc	kb
243	crossover sprints	kb
244	crossover sprints   backlog   worksmart lambda	kb
245	customer	kb
246	customer adoption funnels	kb
247	customer adoption rates	kb
248	customer contacts from bus	kb
249	customer conversion	kb
250	customer decline reasons	kb
251	customer details	kb
252	customer engagement	kb
253	customer engagement and rollout strategies for jive ai copilot	kb
254	customer engagement data	kb
255	customer expectations alignment	kb
256	customer interest	kb
257	customer interviews	kb
258	customer names	kb
259	customer needs analysis	kb
260	customer outreach	kb
261	customer problems	kb
262	customer problems resolution	kb
263	customer response rates	kb
264	customer responses	kb
265	customer satisfaction	kb
266	customer satisfaction analysis	kb
267	customer satisfaction verification	kb
268	customer stability	kb
269	customer support platform	kb
270	customer upgrade challenges	kb
271	customer upgrade plans	kb
272	customer upgrades	kb
273	customer value realization	kb
274	czapovics	kb
275	dashboard tool	kb
276	data ingestion and ml models	kb
277	david belton	kb
278	david harpur	kb
279	david schwartz	kb
280	default spaces	kb
281	defense projects	kb
282	delhi	kb
283	delivery progress	kb
284	delivery progress  influitive   add ai to discourse communities	kb
285	delivery progress details	kb
286	delivery progress document	kb
287	delivery scorecard	kb
288	demo day	kb
289	denys yefimenko	kb
290	description in lock screen	kb
291	desktop	kb
292	detail  switching cost	kb
293	detailed breakdowns	kb
294	detailed financial data	kb
295	detailed financial projections	kb
296	detailed information about customer engagement and rollout strategies for the jive ai copilot	kb
297	detailed information about various project goals	kb
298	detailed metrics and kpis	kb
299	detailed weekly view	kb
300	development tool	kb
301	devfactory	kb
302	devfactory   calendar	kb
303	devfactory   calendar   week of june 10  2024   google chrome	kb
304	devfactory mail	kb
305	devfactory tpm ai	kb
306	devfest	kb
307	devgraph alp atlassian net	kb
308	different renewal plans	kb
309	direct and indirect costs	kb
310	direct message conversation	kb
311	direct message conversation on google chat	kb
312	direct messages	kb
313	discourse 2 3	kb
314	discourse 3 0	kb
315	discourse communities	kb
316	discussing ai related tasks and updates	kb
317	discussing metrics	kb
318	discussing performance of ai assist tool	kb
319	discussion	kb
320	discussion based on these deliverables	kb
321	displayed on desktop	kb
322	dmitrii shutenkov	kb
323	docs google com	kb
324	document editing	kb
325	document editing tool	kb
326	document in google docs	kb
327	document viewer	kb
328	document viewer editor	kb
329	document viewer or editor	kb
330	document viewing	kb
331	dra nutu	kb
332	drag nuta	kb
333	drago nuta	kb
334	drago nutu	kb
335	dragos  23 00  jungle park and dragos nuta	kb
336	dragos nta	kb
337	dragos nu	kb
338	dragos nut	kb
339	dragos nuta	kb
340	dragos nuta trilogy com	kb
341	dragos nutu	kb
342	dragos nutu0103	kb
343	dragosnta	kb
344	driving adoption from the remaining unengaged customers	kb
345	driving early adoption of projects	kb
346	dynamodb	kb
347	early adopter leads	kb
348	early adoption pool	kb
349	early customer adoption	kb
350	early customer adoption details	kb
351	early involvement	kb
352	edgar h mulongo	kb
353	edge	kb
354	edu	kb
355	edu project	kb
356	eeoc	kb
357	effort and risk associated with switching to a primary competitor	kb
358	elevate	kb
359	email	kb
360	email address	kb
361	email client	kb
362	email communication	kb
363	email domains	kb
364	email platform	kb
365	email service	kb
366	email thread	kb
367	email title	kb
368	email tool	kb
369	emails	kb
370	emails from ethan mollick	kb
371	emails from magic	kb
372	emails from samy aboel nil	kb
373	emails related to project updates	kb
374	eng	kb
375	engaged in	kb
376	engaged in chat on google chat	kb
377	engaged in chat on google chrome	kb
378	engaged in chat with noumaan shah	kb
379	engaged in daily syncs	kb
380	engineering jobs	kb
381	english	kb
382	ensuring quality and thoroughness	kb
383	eric	kb
384	eric vaughan	kb
385	erick irigoyen	kb
386	es file explorer	kb
387	escalated license issues	kb
388	esw	kb
389	esw   amazon bedrock   cloudera data platform	kb
390	esw aiml and genai office hours	kb
391	esw conference	kb
392	ethan mollick	kb
393	events	kb
394	events with times  descriptions  and color codes	kb
395	examples	kb
396	explorer	kb
397	expressing dissatisfaction	kb
398	extension icons	kb
399	facebook	kb
400	facebook cc payments	kb
401	facilitating discussion	kb
402	factory status may 2024	kb
403	factory status may 2024  tpm eng	kb
404	facts	kb
405	false	kb
406	feature line automations	kb
407	feedback on communication strategy	kb
408	feedback on examples of feedback	kb
409	feedback on story structure	kb
410	feedback on updates	kb
411	feedback on voice	kb
412	file explorer	kb
413	file explorer application	kb
414	file management application	kb
415	finance manager	kb
416	financial data	kb
417	firat gomi	kb
418	firat s ai notetaker	kb
419	foray into new media	kb
420	framework for success	kb
421	fw  7 golden rules for generative ai apps	kb
422	fwd  introducing	kb
423	generative ai	kb
424	georg dita	kb
425	george	kb
426	george dita	kb
427	gfi appmanager	kb
428	gfi bu ce tpm managem	kb
429	gfi bu ce tpm managemen	kb
430	gfi bu ec tpm managem	kb
431	gmail	kb
432	gmail   chris hornby devfactory com   google chrome	kb
433	gmail   inbox	kb
434	gmail   xo team chat	kb
435	gmail chat	kb
436	goal status	kb
437	google	kb
438	google account	kb
439	google calendar	kb
440	google calendar in  week  view mode	kb
441	google chat	kb
442	google chrome	kb
443	google chrome   private	kb
444	google chrome private	kb
445	google com	kb
446	google docs	kb
447	google docs document	kb
448	google docs document titled  factory status may 2024  tpm eng	kb
449	google drive	kb
450	google form	kb
451	google maps	kb
452	google meet	kb
453	google meet   video conference	kb
454	google meet link	kb
455	google meet session	kb
456	google meet video call	kb
457	google meet video conference	kb
458	google sheets	kb
459	google sheets document	kb
460	google sheets document titled  linkedin renewal 2024	kb
461	google spreadsheet	kb
462	grand total  402 297	kb
463	group chat	kb
464	guidde	kb
465	guide com	kb
466	gurgaon	kb
467	hang up	kb
468	highlightedelement  picture of a male	kb
469	highlightedelement  tab title  google chrome private	kb
470	hindi	kb
471	https   docs google com document d 1	kb
472	https   meet google com aqm tpng aqq	kb
473	hubspot	kb
474	hyderabad	kb
475	icav	kb
476	icons for google chrome	kb
477	icons for google docs	kb
478	icons for google docs  file explorer  microsoft edge	kb
479	icons for google drive	kb
480	icons for microsoft outlook	kb
481	icons for microsoft teams	kb
482	icons in taskbar	kb
483	identity provider	kb
484	idle	kb
485	ifc	kb
486	ignitetech	kb
487	ignitetech cp   central esw   central pm meeting	kb
488	impact on hires	kb
489	import stratifyd	kb
490	improvements done in the products	kb
491	improving outreach	kb
492	in the given passage	kb
493	inbox	kb
494	inbox   dragos nuta trilogy com   devfactory mail	kb
495	inbox  14   7 639    dragos nuta aurea com   devfactory mail	kb
496	indeed	kb
497	india	kb
498	infliutive cpm	kb
499	influitive	kb
500	influtin	kb
501	input device	kb
502	insights from customers	kb
503	installation and use case instructions	kb
504	internal chat tool	kb
505	internet explorer	kb
506	invitation	kb
507	invitation to webinar event  the future of ai in business	kb
508	involved in facebook cc payments	kb
509	isaac	kb
510	isaac squires	kb
511	isabelle	kb
512	isabelle adviento	kb
513	issues encountered	kb
514	jamie s assistant	kb
515	jamie sidey	kb
516	jan 17	kb
517	jan 19	kb
518	jason messinger	kb
519	java 11	kb
520	java 17	kb
521	jhansi	kb
522	jigs	kb
523	jigsaw	kb
524	jigsaw   george   dragos  19 30	kb
525	jigsaw slot update prep	kb
526	jigsaw stratifyd	kb
527	jira	kb
528	jive	kb
529	jive cloud	kb
530	jive cloud copilot	kb
531	jive cloud copilot information	kb
532	jive copilot	kb
533	jive copilot   mass email	kb
534	jive hop	kb
535	jive security	kb
536	jive upgrade	kb
537	jive upgrade   google docs	kb
538	job boards	kb
539	job role performance metrics	kb
540	job search platform	kb
541	jodhpur	kb
542	joe	kb
543	joe conley	kb
544	john czapovicz	kb
545	joveo	kb
546	joveo notetaker	kb
547	jozef czapovics	kb
548	jozse czapovics	kb
549	jozsef	kb
550	jozsef capovics	kb
551	jozsef czapovics	kb
552	jozsef czapovics   chat   google chrome	kb
553	june 2024	kb
554	june 3  2024	kb
555	june 4	kb
556	jungsoo park	kb
557	kanban slots	kb
558	kathe rose	kb
559	katherine rose	kb
560	kathy	kb
561	kathy slowinski	kb
562	kathy slowirski	kb
563	keyboard	kb
564	keyboard  0  mouse  0  date  2024 06 04t08 08 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  true	kb
565	keyboard  126  mouse  5  date  2024 06 04t08 04 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
566	keyboard  156  mouse  10  date  2024 06 04t08 01 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
567	keyboard  2  mouse  0  date  2024 06 04t08 09 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
568	keyboard  217  mouse  3  date  2024 06 04t08 02 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
569	keyboard  217  mouse  6  date  2024 06 04t08 00 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
570	keyboard  221  mouse  0  date  2024 06 04t08 03 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
571	keyboard  49  mouse  0  date  2024 06 04t08 06 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
572	keyboard  51  mouse  10  date  2024 06 04t08 07 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
573	keyboard  92  mouse  0  date  2024 06 04t08 05 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	kb
574	kolkata	kb
575	kt sessions	kb
576	lack of access credentials to advotechhub facebook page	kb
577	laura	kb
578	leonhard holz	kb
579	libreoffice	kb
580	libro	kb
581	linkedin	kb
582	linkedin renewal 2024	kb
583	linkedin renewal 2024   google sheets	kb
584	literal ai	kb
585	literal ai platform	kb
586	literal ai tool	kb
587	llm	kb
588	lock screen	kb
589	lockapp	kb
590	locked	kb
591	looking down	kb
592	ludel mier	kb
593	lufthansa	kb
594	maharashtra	kb
595	mail	kb
596	mail folder	kb
597	mail google com	kb
598	maintenance delivery scorecard	kb
599	maintenance delivery scorecards	kb
600	maintenance details	kb
601	maintenance updates	kb
602	managing ai threads	kb
603	managing emails	kb
604	map viewing	kb
605	marc breslow	kb
606	marcelo skaba	kb
607	matheus vinicius	kb
608	matheus vinicius de	kb
609	matter	kb
610	maximize button	kb
611	may 2008	kb
612	may reg xo check in	kb
613	meerut	kb
614	meet	kb
615	meet   aqm tpng aqq	kb
616	meet   djt sgrk svq	kb
617	meet   keh vdmq vie	kb
618	meet   keh vdmq vie   google chrome	kb
619	meet   khm qevt udu	kb
620	meet   khm qevt udu   google chrome	kb
621	meet   pvi xucn nkp   google chrome	kb
622	meet   qrz rpvr qjr	kb
623	meet   qtv ugaf ywq	kb
624	meet   zfj rojw kzq   google chrome	kb
625	meet google com	kb
626	meet google com pvi xucn nkp	kb
627	meeting	kb
628	meeting application	kb
629	meeting notes	kb
630	meeting platform	kb
631	meeting time	kb
632	meeting tool	kb
633	messages	kb
634	messenger	kb
635	messenger java 17	kb
636	metrics and kpis	kb
637	mic	kb
638	michael	kb
639	michael madume	kb
640	microphone	kb
641	microphone toggle	kb
642	microsoft edge	kb
643	microsoft romania	kb
644	microsoft store	kb
645	microsoft teams	kb
646	microsoft teams meeting	kb
647	middle right	kb
648	minimize button	kb
649	ml models	kb
650	monitoring softwareag s setup of the webmethods environment	kb
651	more actions	kb
652	more options	kb
653	mountain	kb
654	mouse	kb
655	mqls	kb
656	mumbai	kb
657	music portal	kb
658	music related news	kb
659	mute controls	kb
660	my gpt40	kb
661	n a	kb
662	name changes	kb
663	navigating through dashboard	kb
664	navigation buttons	kb
665	nda	kb
666	necessary licenses and information	kb
667	neeraj gupta	kb
668	netsuite	kb
669	network status	kb
670	new	kb
671	new goals	kb
672	new media	kb
673	new zealand time	kb
674	new zealand time 02 30	kb
675	newer java	kb
676	nigerian pidgin english language	kb
677	note	kb
678	notepad	kb
679	notifications	kb
680	notion	kb
681	noumaan	kb
682	noumaan shah	kb
683	nouman	kb
684	observing ai runs and generations	kb
685	omar	kb
686	openai	kb
687	otter ai	kb
688	outreach details	kb
689	outreach statuses	kb
690	p l   budget view	kb
691	p25	kb
692	paddy	kb
693	participant in meet	kb
694	participant list	kb
695	participant videos	kb
696	participants	kb
697	participants list	kb
698	participating in a session	kb
699	participating in meetings	kb
700	partnership opportunity	kb
701	passwords devfactory com	kb
702	patrick york	kb
703	pci audit due to security issues with monitor	kb
704	people	kb
705	performance and joe charts	kb
706	phil	kb
707	phil hewinson	kb
708	photos	kb
709	pinecone	kb
710	pivot table 2	kb
711	planetradiocity com	kb
712	plans for early and late renewals	kb
713	platform openai com	kb
714	platform openai com tool	kb
715	platform performance metrics	kb
716	playbooks product	kb
717	pm playbook draft	kb
718	popup window	kb
719	postbeyond	kb
720	pre acquisition ideas	kb
721	present now	kb
722	presentation sharing	kb
723	presenting data	kb
724	privacy settings	kb
725	private fm radio station	kb
726	processname	kb
727	prod2 import spec	kb
728	product daily check	kb
729	product daily check in	kb
730	product issues	kb
731	product issues dd rca	kb
732	product usability	kb
733	productivity enhancements	kb
734	professional networking platform	kb
735	profile icon	kb
736	profile picture of a male	kb
737	programmatic recruitment software	kb
738	programming language	kb
739	progress report	kb
740	progress updates  metrics  and kpis	kb
741	project	kb
742	project management tool	kb
743	project status	kb
744	project updates	kb
745	prompts	kb
746	prompts shared with companies	kb
747	providing feedback	kb
748	providing helpful responses based on chat history	kb
749	providing insights	kb
750	providing specific comments	kb
751	providing updates during renewal	kb
752	proximus	kb
753	pune	kb
754	python	kb
755	q sessions	kb
756	q2 objective	kb
757	queries	kb
758	quick notes	kb
759	radio city	kb
760	rafal hrynio	kb
761	rafal hryniow	kb
762	rag qa scan tool	kb
763	raghuil suthagar	kb
764	raise hand	kb
765	rakshit bha	kb
766	rc	kb
767	re  updated invitation  jigsaw kanban status   demo	kb
768	reactions	kb
769	read ai	kb
770	read ai meeting notes	kb
771	reading and editing documents	kb
772	reading emails	kb
773	recruitment marketing tech solutions	kb
774	recruitment strategies	kb
775	red	kb
776	reduction scenarios	kb
777	refine copilot project	kb
778	refinitiv	kb
779	related to alp jira	kb
780	related to crossover markets dmcc	kb
781	related to infliutive cpm	kb
782	related to influitive	kb
783	related to music portal	kb
784	related to stratifyd daily standup	kb
785	renewal plans data	kb
786	renewals	kb
787	responsetek product	kb
788	review prompting badge	kb
789	reviewing detailed performance metrics	kb
790	rishap ahuja	kb
791	rollout plans	kb
792	saas   cf monthly report   may 2024	kb
793	saket chourasiya	kb
794	saket ghourasiya	kb
795	samy	kb
796	samy aboel nil	kb
797	samy s vps gen ai adoption   chat	kb
798	savings by finder	kb
799	scenic background	kb
800	scenic background image	kb
801	schedule for june 4	kb
802	scheduling	kb
803	scott saunders	kb
804	search	kb
805	searchhost	kb
806	seeking clarification	kb
807	selecting early adopters	kb
808	senior ai innovation specialist	kb
809	serba petrescu	kb
810	serban petrescu	kb
811	settings	kb
812	settings controls	kb
813	share	kb
814	shared screen	kb
815	sharing screen	kb
816	sharing settings	kb
817	sheet4	kb
818	shortwave	kb
819	simple calculation related to media spend	kb
820	sl product	kb
821	slack	kb
822	slot delivery	kb
823	slot delivery details	kb
824	social media platform	kb
825	sococo product	kb
826	software development	kb
827	softwareag	kb
828	songs	kb
829	sound volume	kb
830	sourcing performance metrics	kb
831	space request notifications	kb
832	spaces	kb
833	speaking	kb
834	spec request notifications	kb
835	specific details	kb
836	spreadsheet application	kb
837	spreadsheet tools	kb
838	sql	kb
839	ssv vhkw gzq meeting	kb
